
unique_id,family_id,name,dob,address,relation
oCrZ8326a,CLrZ93a,Turvi Lamba,1990-05-20,Mumbai,Head
oCZ8386a,d99f7d3d,Nathaniel Choudhury,1992-07-15,"321, Chahal Circle, Patna 133890",Head
nWvgf6542y,d99f7d3d,Gunbir Choudhury,1969-06-16,"321, Chahal Circle, Patna 133890",Son
UDIhy5940f,d99f7d3d,Chaaya Choudhury,2001-06-20,"321, Chahal Circle, Patna 133890",Daughter
UpkDy1928r,53d7041f,Theodore Pathak,1991-08-14,"H.No. 341, Chaudhuri Ganj, Alwar-525534",Head
Zuzre5030n,53d7041f,Divya Pathak,1959-07-01,"H.No. 341, Chaudhuri Ganj, Alwar-525534",Spouse
jOkYR7101B,579c1dd7,Devansh Tata,1971-03-19,"423, Yohannan Circle, Bhimavaram-965328",Head
qJaRU6978h,579c1dd7,Amara Tata,1997-05-01,"423, Yohannan Circle, Bhimavaram-965328",Son
kDaUU5146q,579c1dd7,Xiti Tata,1996-11-17,"423, Yohannan Circle, Bhimavaram-965328",Daughter
fUFeW0391I,2b7e1ecf,Jeremiah Gokhale,1953-10-07,"89/325, Zacharia Street, Khora  701543",Head
HMBnI7824W,2b7e1ecf,Sai Gokhale,1993-07-18,"89/325, Zacharia Street, Khora  701543",Spouse
HChpo4657e,2b7e1ecf,Hamsini Gokhale,1946-06-17,"89/325, Zacharia Street, Khora  701543",Daughter
ZAmgg9737Q,a27bed19,Raagini Karpe,1969-02-20,"H.No. 031, Narayanan Nagar, Kottayam-473829",Head
RPPgd6670z,a27bed19,Harinakshi Karpe,1999-07-05,"H.No. 031, Narayanan Nagar, Kottayam-473829",Son
ICiBl1333r,a27bed19,Turvi Karpe,1962-01-10,"H.No. 031, Narayanan Nagar, Kottayam-473829",Daughter
BSUYJ6474Q,3e65e474,Vidhi Borra,1955-07-25,"H.No. 801, Ganesan Ganj, Shivpuri-360260",Head
LVIdV3430u,3e65e474,Dakshesh Borra,1948-06-10,"H.No. 801, Ganesan Ganj, Shivpuri-360260",Spouse
kdGfl9788e,3e65e474,Ekansh Borra,1990-12-23,"H.No. 801, Ganesan Ganj, Shivpuri-360260",Son
pLMcN3619f,3e65e474,Oni Borra,1989-10-06,"H.No. 801, Ganesan Ganj, Shivpuri-360260",Daughter
qiwep1838x,5452a20d,Bhavani Virk,1955-10-06,"534, Deep Marg, Berhampore 107991",Head
ZPHaQ7849J,5452a20d,Chandani Virk,1990-03-04,"534, Deep Marg, Berhampore 107991",Spouse
gVJjr1241s,5452a20d,Shivansh Virk,1993-11-11,"534, Deep Marg, Berhampore 107991",Daughter
SjIcx8011L,937c8d0d,Manbir Oza,1974-04-11,"74/01, Malhotra Marg, Delhi-242786",Head
YcwnR2045p,937c8d0d,Harshil Oza,1969-02-04,"74/01, Malhotra Marg, Delhi-242786",Spouse
pkZZl8692A,937c8d0d,Aryan Oza,1957-03-27,"74/01, Malhotra Marg, Delhi-242786",Son
eXrwP3654G,43260cee,Mugdha Natarajan,1991-04-09,"H.No. 21, Barad Marg, Korba-754330",Head
qlLqc8501g,43260cee,Radha Natarajan,1968-07-21,"H.No. 21, Barad Marg, Korba-754330",Son
hyKmq5698c,43260cee,Rajata Natarajan,1945-02-22,"H.No. 21, Barad Marg, Korba-754330",Daughter
NKtzJ3662a,1d407ec0,Daksha Venkatesh,1964-07-21,"15, Murthy, Dewas-656482",Head
PuDCC3699R,1d407ec0,Tanay Venkatesh,1979-10-25,"15, Murthy, Dewas-656482",Spouse
GQONv7214f,1d407ec0,Wahab Venkatesh,1990-10-24,"15, Murthy, Dewas-656482",Son
bcpEN4332X,1d407ec0,Elijah Venkatesh,1976-01-08,"15, Murthy, Dewas-656482",Daughter
QHJMu1727W,c95b956c,Saanvi Sachdeva,1986-09-20,"63, Ahluwalia Street, Khandwa-287083",Head
kVECq8687W,c95b956c,Yug Sachdeva,2002-03-07,"63, Ahluwalia Street, Khandwa-287083",Spouse
rCeTs4873p,c95b956c,Anita Sachdeva,1967-11-19,"63, Ahluwalia Street, Khandwa-287083",Son
yEawt6909W,1f3406e9,Madhavi Nagarajan,2003-02-08,"362, Bhatt Ganj, Vellore 876036",Head
oForB6889F,1f3406e9,Ayush Nagarajan,1971-06-29,"362, Bhatt Ganj, Vellore 876036",Spouse
iNIbz5627L,1f3406e9,Avi Nagarajan,1950-09-28,"362, Bhatt Ganj, Vellore 876036",Daughter
oPeXP0805c,9247a3e3,Azaan Sangha,1961-11-09,"046, Kakar Path, Khammam-646417",Head
piEQh3092K,9247a3e3,Tejas Sangha,1976-09-03,"046, Kakar Path, Khammam-646417",Spouse
MVThX4529k,9247a3e3,Deepa Sangha,1952-05-20,"046, Kakar Path, Khammam-646417",Son
RyzTm9049e,9247a3e3,Xavier Sangha,1951-12-18,"046, Kakar Path, Khammam-646417",Daughter
NZIXE6284D,a81b367f,Rajata Mitra,2001-03-21,"H.No. 86, Biswas Path, Ahmedabad 716572",Head
frCpW9453D,a81b367f,Ladli Mitra,1967-12-03,"H.No. 86, Biswas Path, Ahmedabad 716572",Spouse
FnwZq0752v,a81b367f,Ati Mitra,2004-12-07,"H.No. 86, Biswas Path, Ahmedabad 716572",Daughter
JHwBV4957J,6026b0e0,Ganga Majumdar,1968-12-20,"H.No. 367, Khosla Circle, Pallavaram 014363",Head
ohUmu7444h,6026b0e0,Qasim Majumdar,1958-01-23,"H.No. 367, Khosla Circle, Pallavaram 014363",Spouse
