pan_id,name,dob,address,tax_filing_income,asset_flag
NYgLi9375l,Aryan Maharaj,1971-09-09,"18/196, Balan Nagar, Bellary-890838",4313236,Property > 50L
gExoU6713z,Thomas Sen,1995-02-15,"654, Kale Street, Kota 615594",2887241,Mutual Funds > 5L
ujQGO2647z,Tripti Yadav,1963-07-09,"49/59, Boase Ganj, Ambattur-131647",4491354,Luxury Car
SbNBh4612C,Nicholas Prabhakar,1979-03-15,"19/283, Shere Street, Gopalpur-503056",3147883,Property > 50L
LkQVI3009r,Dominic Kakar,1993-08-15,"76/724, Koshy Street, Bhimavaram 965328",1734555,Property > 50L
mkTge5240w,Gavin Batta,1962-06-27,"69/166, Sidhu, Begusarai-184514",1119871,Mutual Funds > 5L
ugrnU3550X,Nakul Setty,1955-03-31,"14/89, Dua Ganj, Nanded 957015",3326745,Luxury Car
tpQdH2191C,Wriddhish Bhardwaj,1971-06-01,"71/822, Gandhi Chowk, Dehri 383465",3854666,Mutual Funds > 5L
qDMix7972S,Zansi Seth,1963-04-05,"H.No. 509, Karpe Circle, Chennai-031051",1120249,Luxury Car
GIpTq4221O,Arya Sunder,1969-08-08,"763, Chatterjee Zila, Raichur-670106",2389227,Property > 50L
lVatX5819I,Ikbal Kothari,1968-01-23,"624, Krish Chowk, Mango-080132",4620825,Mutual Funds > 5L
FOyKm7706n,Vedika Srivastava,1969-07-27,"606, Sha Road, Bhusawal-234309",3481621,Property > 50L
JBwgw3299N,Dipta Bhandari,1958-06-09,"H.No. 812, Bir Zila, Sambhal-939909",4236862,Mutual Funds > 5L
TIQsB0257r,Oni Virk,1976-07-21,"53/462, Shankar Road, Srinagar 799118",1146004,Property > 50L
YYwVH0858H,Yashawini Lanka,1964-01-15,"542, Mittal Chowk, Begusarai 124118",1520675,Luxury Car
SBTYE3825i,Anita Manda,1996-03-08,"487, Behl Road, Bhusawal-005242",1125170,Property > 50L
rzEiQ6208L,Prisha Andra,1962-08-21,"05/98, Sani Street, Kalyan-Dombivli 505331",3351299,Mutual Funds > 5L
XOuVx2543f,Niharika Dubey,1971-02-19,"02, Sabharwal Path, Shimoga-160733",2335483,Mutual Funds > 5L
kllwa9628W,Inaya Mody,1970-07-06,"36/541, Panchal Road, Jorhat-014294",3021593,Mutual Funds > 5L
UYQOz1825k,Ikbal Saraf,1978-07-20,"81/69, Kumar Ganj, Junagadh 883561",1160678,Luxury Car
