applicant_id,name,dob,address,declared_income
af908e3c-dd75-4e98-90e0-b95f0212b554,Aryan Maharaj,1971-09-09,"18/196, Balan Nagar, Bellary-890838",79301
0c8e29e3-f93e-48d5-bea2-9dfec73f6e1b,Thomas Sen,1995-02-15,"654, Kale St., Kota 615594",40416
7f2984f5-bec3-4a37-9b3d-74bde91e314e,Tripti Yadav,1963-07-09,"49/59, Boase Ganj, Ambattur-131647",55324
4944051b-e726-4e23-a776-b886d534ee1d,Nicholas Prabhakar,1979-03-15,"19/283, Shere St., Gopalpur-503056",74251
9b689c88-3ae9-49fe-8c82-18dac696f5e6,Dominic Kakar,1993-08-15,"76/724, Koshy St., Bhimavaram 965328",67542
a2f963a3-3810-4e66-9a31-b4cccd4b69a9,Gavin Batta,1962-06-27,"69/166, Sidhu, Begusarai-184514",89898
ad81f8bd-4029-43ec-9ef2-b93e30ac7d7b,Nakul Setty,1955-03-31,"14/89, Dua Ganj, Nanded 957015",82496
a8c01f05-c478-46f1-b88e-c318c16d83ed,Wriddhish Bhardwaj,1971-06-01,"71/822, Gandhi Chowk, Dehri 383465",81838
a0d4de3d-2303-46c6-969d-42f1ae4c84ff,Zansi Seth,1963-04-05,"H.No. 509, Karpe Circle, Chennai-031051",79748
a5769411-a0a1-4839-a745-770418dfbc3c,Arya Sunder,1969-08-08,"763, Chatterjee Zila, Raichur-670106",67611
70d9c9f8-c9e2-4074-8f16-39a00a17991e,Ikbal Kothari,1968-01-23,"624, Krish Chowk, Mango-080132",86145
bb7bee03-5d67-4bb1-945e-f2e4088a93ec,Vedika Srivastava,1969-07-27,"606, Sha Rd, Bhusawal-234309",62418
4b8c5bdc-e8dd-4e5a-9712-fb1621a4344f,Dipta Bhandari,1958-06-09,"H.No. 812, Bir Zila, Sambhal-939909",54746
2cf6bf75-6a5e-4920-bf5a-e7e653a3dd5a,Oni Virk,1976-07-21,"53/462, Shankar Rd, Srinagar 799118",72402
8a16a06c-c958-475e-a1d5-3971336749b5,Yashawini Lanka,1964-01-15,"542, Mittal Chowk, Begusarai 124118",76967
87e5f0fe-5da8-46d2-b8b3-8a8be05fb8bc,Anita Manda,1996-03-08,"487, Behl Rd, Bhusawal-005242",40540
d499da99-45c4-4a3e-a9da-484a80759f1f,Prisha Andra,1962-08-21,"05/98, Sani St., Kalyan-Dombivli 505331",66825
d31edf1a-e9ff-4cae-81c8-ca8c2a1f955a,Niharika Dubey,1971-02-19,"02, Sabharwal Path, Shimoga-160733",51032
ce7607ad-f7a6-4b94-bb5a-611af1b64afe,Inaya Mody,1970-07-06,"36/541, Panchal Rd, Jorhat-014294",86984
56b60afc-ded2-45d0-bf1e-83664b8e63d4,Ikbal Saraf,1978-07-20,"81/69, Kumar Ganj, Junagadh 883561",58881
f6802cdb-77e4-40c7-9d7b-c313cde22f1c,Dipta Dash,1975-06-18,"H.No. 64, Datta Circle, Bidar 299468",82678
f76c8ede-c110-4266-a408-a6dc1346d1a9,Daksha Mangat,1969-04-30,"77, Vaidya Ganj, Gulbarga-489513",57581
b966442a-ad23-4d36-9c32-2c9739c1e262,Umang Issac,1965-01-19,"791, Sachdeva Chowk, Yamunanagar 632016",52390
f79efd70-65bc-4272-badd-7ea3aca5e2fd,Patrick Vasa,1986-08-21,"H.No. 727, Nadig Circle, Pudukkottai 872774",58502
5da36f1b-8eac-4a33-8df9-74a7d882b5c1,Aradhana Verma,1988-01-01,"14, Magar Ganj, Imphal-223623",72257
03902c5d-6502-46a2-8a6a-2224171e16cc,Oeshi Reddy,1977-07-17,"H.No. 366, Bahri, Morena-546688",48420
746cdb77-1fa3-42e8-895c-cd9943b38eb4,Vinaya Kanda,1973-08-06,"H.No. 656, Sibal St., Deoghar-699016",77145
ac1e86d8-bfbf-497b-ac3e-7b0d5e5ba13d,Triya Gopal,1958-06-12,"H.No. 37, Nazareth Path, Alwar 417080",78793
d289f0ab-618a-4305-95a5-bafa431d029f,Udarsh Biswas,1999-05-18,"309, Khare St., Bhalswa Jahangir Pur 937452",79924
1bbc91f7-5f18-4583-b0b6-f83fa377f6f1,Nihal Mukhopadhyay,1962-05-19,"66/31, Kibe, Barasat 905865",62818
066803ee-78b2-4549-bbdb-c09eacc216a0,Yashawini Om,1955-11-20,"H.No. 657, Saran St., Nagaon-987769",42782
8fb864e4-f173-4856-a25d-36eb9e9a9f83,Ekantika Korpal,1960-12-03,"799, Nayar Marg, Shimla 273545",77494
38ab854c-9c2e-48de-aa4e-361753f8382b,Anya Anne,1990-03-07,"678, Soni Ganj, Sultan Pur Majra-143634",73710
d2e82f38-a2a9-44d8-902e-fde5a5cc8bf7,Urvashi Wali,1978-06-02,"H.No. 74, Krishnamurthy Rd, Jamshedpur-518233",87035
4d5c55c7-b379-4b1e-a8cd-a0cc76da3ca0,Aradhana Vohra,1995-08-21,"435, Mittal St., Deoghar 400842",67254
23c86d30-1dde-4969-a886-13dba6348e78,Harshil Arora,1994-02-02,"75, Behl St., Morena 167190",80913
4dead645-0986-4beb-b23e-323d0b9bd934,Manthan Modi,1960-10-27,"69/99, Virk Ganj, Hospet-496499",74981
18e19331-1dba-4267-be1c-a5a1fef518a6,Hardik Johal,1997-08-04,"12/328, Dugar Zila, Alappuzha-974034",49224
22bae10e-899c-4782-a323-6d1a3c1bdacc,Sudiksha Bobal,1970-11-28,"18, Dixit Ganj, Ajmer 024994",65703
aba4fc03-5efa-4c5b-b421-ff46637e4b01,Jeet Sidhu,1975-09-20,"87/71, Baral, North Dumdum-013990",86001
f22b5b98-b24c-464f-be3e-6e57f30a9e32,Banjeet Gill,1987-01-16,"967, Singhal Zila, Alappuzha-512567",49304
be055787-965b-4fdf-ab4b-e4118a4a0e2d,Nandini Bansal,1985-12-22,"H.No. 51, Varkey Marg, Hosur 603859",78733
6a35df59-e2aa-4a5d-a78e-d00dba0266ef,Riya Behl,1968-11-16,"H.No. 77, Balakrishnan Zila, Kozhikode 808613",86477
7d45d8ef-d56c-48ea-9959-7b5aa7a8f636,Triya Dalal,1999-02-06,"48/467, Kohli Chowk, Suryapet-639821",73402
f396ea37-f065-4817-a87a-48509d9b6231,Oeshi Oak,1989-07-29,"H.No. 49, Suri, Amroha 558867",43450
5edb0d3c-b0b6-4bcf-8860-1833479d0cda,Ranbir Khare,1993-12-08,"05, Raj Chowk, Saharanpur-028951",65512
f3579560-71d7-4665-b181-8dcf379efc6e,Harish Vora,1986-02-13,"21, Lanka Chowk, Sikar 586578",82830
196f4dfa-5cd8-4e1a-9afe-c8a93c71e0be,Ekapad Keer,1997-12-22,"16/117, Mistry St., Ranchi 045562",52544
8b621d41-5e09-49ee-af88-bdecfb1e143b,Nisha Gole,1966-08-04,"69/37, Dhar, Surendranagar Dudhrej-740748",63487
5bd20c98-a513-4ea0-ba53-e34de6d5901d,Ethan Sathe,1978-07-17,"47/436, Chhabra Chowk, Eluru 944064",45889
30974b2b-46a0-4a9b-a5ec-7acd0f8035f5,Suhani Chand,2000-02-16,"H.No. 532, Jha, Begusarai-933529",84432
fbe94499-dbc0-40fd-86fb-7bf300b9d4a3,Kalpit Zachariah,1972-01-31,"02/053, Naik, Akola-026811",73875
5cae9610-c72c-4fe3-b2c2-2a1679eb4168,Siya Thakur,1970-02-06,"00, Ratti Chowk, Moradabad 711592",43682
9fd34579-4667-42ce-a04e-178c10d08d11,Lakshmi Wali,1975-02-03,"H.No. 183, Seth Marg, Haridwar-766156",68268
5fd23109-4140-452c-aa44-825950018b7b,Urvi Bhavsar,1961-03-26,"15, Bhasin Street, Bhilai 560494",77332
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Mohammed Subramaniam,1970-04-14,"51/49, Sanghvi Ganj, Narasaraopet 024455",93830
24ac2130-deaf-428d-ae70-983801902620,Ekaraj Dhar,1998-02-10,"83/667, Dugar Path, Bijapur 991022",34090
ac8936bc-0cbd-4c03-9e2a-a4acc122b5b3,Anita Savant,2000-01-26,"76/43, Comar Circle, Chinsurah-497840",72688
996d5c50-fc04-4168-a52f-fb493873e57f,Abhimanyu Jayaraman,1975-07-15,"H.No. 45, Amble Zila, Chinsurah-268388",52682
5aaab32f-ce63-42b6-ab05-347fd556b37d,Mekhala Basak,1984-09-16,"H.No. 596, Ravel, Ramagundam 605297",85977
5ca260c9-eb76-47c9-b08a-4895d4ffa666,Rajeshri Cherian,1971-08-01,"16/45, Nath Ganj, Solapur-883552",60426
4187222b-257d-4e52-9a51-65ca3c7c1d85,Oscar Dua,1999-08-19,"77/997, Naidu, Saharanpur 177449",66864
12fe28bf-81e0-4489-9a18-e2a30e614bcd,Triya Seth,1957-08-01,"H.No. 11, Tripathi, Surendranagar Dudhrej 793597",50560
0fd6f47e-f52d-4af2-a69e-d4c980599b93,Harshil Oza,1960-10-06,"778, Dutt Circle, Serampore-665905",72578
8ed6ad5e-1831-4aa3-9466-9d1910df9974,Bhanumati Krishnan,1999-09-14,"H.No. 925, Ramanathan Road, Hindupur-486528",66378
6c645c15-aba3-41cb-a561-e1e917ec889c,Andrew Patil,1976-01-16,"H.No. 73, Devan Ganj, Solapur-188805",41315
218c6e1c-9e37-4f7a-842c-bc39e05b46c5,Mitesh Gaba,1967-05-01,"H.No. 653, Mane Chowk, Muzaffarpur-473597",35102
c7332304-4822-4120-84f9-eccd7630a8a7,Yadavi Wable,1983-07-07,"24/07, Chauhan Path, Anantapuram-247826",64092
38d77b9a-e916-4a57-b248-23ab177a8a5f,Ikshita Bala,1983-04-05,"53/61, Kapur Path, Imphal 522047",54721
c24369e7-2387-4af6-94c3-a832b231c60b,Saumya Ahluwalia,1960-06-01,"289, Sampath Circle, Tumkur 410369",39136
d6312a80-1c61-4ec2-9014-2131750565f5,Amol Varma,1994-02-26,"H.No. 60, Pandit, Aurangabad-218518",46180
fd034ada-c952-4185-81e0-3a5e8b48f496,Madhavi Singhal,1957-12-27,"H.No. 05, Pai Zila, Vasai-Virar-205852",50959
76f186ab-af47-4b49-8775-e395d49405f0,Qabil Deshmukh,1959-04-27,"H.No. 30, Barman Ganj, Tirupati-874034",70488
0c3ce284-c7e5-4bbb-9cb5-1c535b62a8df,Anjali Dash,1980-01-26,"76/527, Pillai Chowk, Gwalior-169284",77810
53f28f11-147f-4570-9a43-db54523ae993,Damini Sehgal,1996-01-13,"75/705, Saran, Howrah-658202",94456
c8040fb7-ad97-4b67-9b89-e5cbd942644c,Bakhshi Date,1959-08-08,"H.No. 69, Dube Nagar, Uluberia-719285",46065
4758367b-a649-4cdc-907b-907265e58f34,Ishaan Bal,1967-09-08,"14/47, Mangal Ganj, Kollam-217271",93145
d8741408-f7b2-47c7-ae92-ea71cf7dcb43,Idika Bhattacharyya,1992-06-14,"258, Dara Ganj, Kolhapur 705895",77773
8d38bbd8-fba6-4bf7-8dbc-c65377a7e8b7,Gabriel Bhatti,1976-01-27,"66/91, Nadig Street, Hospet-852892",62847
6ec01269-2108-4dd9-b75d-1e3cc48d5650,Jeet Vasa,1965-06-09,"535, Mander Circle, Chandrapur 842498",55831
2b2bb8e9-a417-4093-80a8-a23d17eaec83,Onveer Nazareth,1993-05-18,"H.No. 094, Saha Ganj, Mehsana 473647",80713
2877f5d9-0f56-45f8-b048-faa112ae5c22,Ojasvi Sule,1986-08-18,"25/55, De Marg, Kottayam-537147",34609
0cf477ef-18c8-4616-a410-8e9a3f779cae,Leena Sahota,1971-12-02,"53/27, Sibal Circle, Aizawl-016873",62467
0c74dc0f-5a57-4539-9556-0a2d3713b466,Baghyawati Talwar,1995-09-08,"01/62, Pau Road, Ambarnath-609835",41664
62e7c1a6-12d2-4a06-89e1-cd138da00495,Ati Dani,1963-10-12,"H.No. 58, Dhawan Path, Madanapalle 800025",52498
74fd33d1-84f2-4d0f-b947-4bfacdd0b4d4,Yutika Dey,1977-05-05,"94, Nayar, Phusro 705516",92803
e61599c8-cbf8-4f86-8ec3-f970956d80e4,Urvi Lanka,1999-08-21,"72/89, Divan Marg, Patna-307562",42491
690e7e62-3432-4ec6-b0c4-a01c69b7c0fa,David Devi,1990-04-27,"78/652, Walia Chowk, Bongaigaon-497334",30204
